,Predixcan,Enformer,strand
SERPINB1,0.48464560025081793,-0.13375528773226422,['-']
KBTBD2,0.1482624580926525,-0.14068105529287236,['-']
GCDH,0.2177962006637528,0.19758784974650237,['+']
ZNF493,0.23745232737849434,0.10553278876905285,['+']
MANBA,0.21653700696436393,0.11740891502165927,['-']
ZNF586,0.3419230594758263,-0.4400182551548375,['+']
THOC3,-0.024825339205359818,-0.09692249169589343,['-']
ZNF567,0.28468946933983735,-0.3447945226626536,['+']
PCYT1A,0.19698732193286592,0.1372000530181128,['-']
PAPD7,0.27047088335355324,0.11435354703979694,['+']
NAPG,0.2581029658334638,-0.10536608680271131,['+']
ICOSLG,-0.05122229345245413,-0.10865500527960983,['-']
FAM200B,0.12156870898189893,-0.047705520312282264,['+']
HYAL3,0.3079095032406066,-0.2764695190154124,['-']
OPN3,0.2511197121960985,-0.16177786382881168,['-']
ULK3,0.1400543881022312,0.04651080247598611,['-']
TRIM52,0.07319089579319447,-0.059905613762739944,['-']
GCAT,0.38537425821442317,0.4000378701452594,['+']
LRRC61,0.49028980423457486,0.09096154286033055,['+']
FCRL1,0.3508721076085759,0.22752393276062113,['-']
TRMT112,0.5694669027111551,0.0780053360427058,['-']
DDX1,0.32988369598685385,0.3834427275690689,['+']
FUT5,-0.09966372141016522,-0.15988631493033387,['-']
SLC16A13,0.06463820616673932,-0.1630589256399572,['+']
TSTD1,0.5873380229708584,0.32262748328600627,['-']
C6orf163,0.4333586937764789,0.4457124257635602,['+']
GTPBP8,0.300230590827232,-0.2334998729788904,['+']
PSD4,0.15775362498769616,-0.23951080339645345,['+']
RPF2,-0.2273061993008302,0.10529899486000205,['+']
LRIG3,0.23822512507502855,0.03937464684920467,['-']
EXPH5,0.014901889153756266,-0.058506410839873485,['-']
MYH15,0.1239538549047124,0.09563128593403834,['-']
MCM9,0.14252980794822495,0.18533719772641372,['-']
IL11RA,-0.0038245714534251383,-0.0022507641625785072,['+']
TCP10L2,0.1565043965066179,-0.028410226567472056,['+']
PTHLH,-0.15164007736787846,-0.13594967809473604,['-']
TOP3B,0.18190320093169388,-0.22059808104126202,['-']
NFATC3,0.221651449285406,0.10295296133100969,['+']
RHBDL1,-0.015901202953625692,0.13871559113786647,['+']
AMPD3,0.153923826067005,0.12296158794401485,['+']
ZNF616,0.21696339415774468,0.06241755840788035,['-']
GRHPR,0.11417485163082665,0.29385134257772894,['+']
HPS5,0.14164684585762805,-0.10254797655692557,['-']
PPP4R1,-0.07414806634320949,-0.10657552116351848,['-']
SLC35B4,0.09661024834834742,-0.26298141856395574,['-']
DDX49,-0.08259112140747868,-0.17325431513426168,['+']
STON1,-0.11237039968563355,0.10596976606036129,['+']
AK1,0.1299325898802197,0.2646939756409827,['-']
ZPBP2,0.2657866435820855,0.32318030248194396,['+']
MYADML2,0.4397618249903343,0.44205760922144766,['-']
LGSN,0.14122912456600173,-0.1829471900082168,['-']
PTPRS,0.15473333907220196,,['-']
TMEM218,0.18605062038976194,0.13598900779912532,['-']
CLEC18A,0.5143737861381563,-0.2722607562238965,['+']
SGCA,0.21035388357282891,-0.007256909309020701,['+']
CPT1B,0.14466248882755448,-0.11108701260668041,['-']
CP,-0.07136689356712908,0.10157265532305845,['-']
C11orf54,0.32791441590694603,-0.33026852054471856,['+']
B3GNT8,0.14108244566999853,-0.07732462420710536,['-']
U2AF1,-0.07401761640840754,-0.08365513194058834,['-']
MRPL48,0.2603628991668309,-0.04769559383923575,['+']
ARHGAP11B,0.014483661313210458,0.006550859450785326,['+']
UGT2B15,0.7528776682151008,0.08397039990163918,['-']
GNAI1,-0.08694716507847577,-0.05288463145229951,['+']
SLC12A2,-0.0952707440638215,0.16313107997998347,['+']
TIFA,0.2970069909646997,0.28997039947187464,['-']
ACOT1,0.0870601562900768,0.12115992391264988,['+']
GLDC,0.4492761723369173,0.19698189551666104,['-']
LRRC1,-0.139399416233894,-0.20983541518305182,['+']
CACNA1B,0.05744304776236953,-0.07691792098841539,['+']
NDUFA12,0.3137068330432202,0.0998252464482823,['-']
SMPDL3A,-0.12706622423700017,0.1166259233513552,['+']
INCA1,-0.11773017520711487,-0.05657240518273646,['-']
WTAP,0.08142291979048435,0.036461048456278455,['+']
ANXA11,0.19902931879872662,0.3233056190234926,['-']
CX3CR1,0.5670676506951423,0.11887321667734763,['-']
ZNF276,-0.17222630171496214,0.10670980240719155,['+']
ARHGEF7,0.1868461498852038,0.21232292506977146,['+']
ACSF3,0.3424167804211198,0.1875188712157085,['+']
GTF2H4,-0.13706222804969018,-0.013486474085332408,['+']
ZC3H18,0.056785771233100704,0.20743313156759816,['+']
EZR,0.11471111945420454,-0.03511352580736663,['-']
ADH5,0.14813941070772246,0.06749696152623248,['-']
GIPC1,0.049206579210710304,-0.01990119299547238,['-']
NDOR1,0.3864716646562554,-0.22547336788968636,['+']
SAMD7,-0.023636609266909272,0.05238012757369221,['+']
CHI3L2,0.4812798417526696,0.246381072511839,['+']
FIBP,0.3793331294545802,0.16289665766515252,['-']
BSG,0.44581248585765476,0.06919822181457001,['+']
UBE2Z,0.16152705963044514,0.16300064282632726,['+']
HELB,0.1216892655943376,-0.059179442052955826,['+']
SLC16A9,0.2595555561780154,0.1075359521114307,['-']
FCRL3,0.27429766091902613,-0.17213116456413607,['-']
MCM8,0.4217165960618398,-0.3848659843535229,['+']
MRPL21,0.5598972871748203,0.08185655724798695,['-']
FAAH,0.1615434324510282,0.19648834850623406,['+']
SLC36A1,-0.04081243658742894,0.13857905165827847,['+']
PFN2,-0.04437281394508833,0.20164697647267227,['-']
COG3,0.2850521365009205,-0.21270817550583937,['+']
ICAM5,-0.0687653471015018,-0.054674366553181,['+']
