,Predixcan,Enformer,strand
SERPINB1,0.15638280970609242,-0.06796409389753345,['-']
KBTBD2,-0.14758188416962362,0.1333997014663454,['-']
GCDH,-0.009475147416424402,-0.18308270763153803,['+']
ZNF493,0.12554820549500756,-0.006718219220255538,['+']
MANBA,0.22615055529459277,0.29736894676787623,['-']
ZNF586,0.319187476087464,-0.2174463219679301,['+']
THOC3,0.2762480820936401,0.38239976374891615,['-']
ZNF567,0.07100392699149793,-0.28059145289545845,['+']
PCYT1A,-0.03627998294138335,-0.01491403945772515,['-']
PAPD7,0.08779007903150071,-0.09814222282224114,['+']
NAPG,0.24584627374493126,-0.15446292921226087,['+']
ICOSLG,0.09523701124366404,0.23167837796552068,['-']
FAM200B,0.09826924094533439,0.1936957978800343,['+']
HYAL3,0.09413667089499511,-0.06696814559478229,['-']
OPN3,0.1419496998312703,-0.14669074911192181,['-']
ULK3,0.36748297528054447,-0.24077682979884216,['-']
TRIM52,0.07707047478166189,0.10751862896545404,['-']
GCAT,0.16869254301376707,0.21487709399338714,['+']
LRRC61,0.06870621616075669,0.053526821313066575,['+']
FCRL1,0.20703544929963982,0.20577248139968948,['-']
TRMT112,-0.07323900486968941,-0.05474009459180782,['-']
DDX1,0.39311550949109003,0.318997807753245,['+']
FUT5,0.14557611474148205,0.10875884241687324,['-']
SLC16A13,0.07452213241877677,-0.054516310589186594,['+']
TSTD1,0.4331579128787515,0.32414281156562047,['-']
C6orf163,0.1337192885458941,0.04684568080824902,['+']
GTPBP8,0.04205276321162786,-0.11205888873597532,['+']
PSD4,0.2790022808539597,-0.28998769092101767,['+']
RPF2,0.304676070772845,0.4238582393953514,['+']
LRIG3,0.007751016338694318,0.10439597480022775,['-']
EXPH5,-0.03412898945529645,0.11290966736548899,['-']
MYH15,0.2351826554775682,0.011128993874573329,['-']
MCM9,0.23923076762387,0.22152610749657073,['-']
IL11RA,-0.026913825923757153,-0.17749277655632975,['+']
TCP10L2,0.017428212337392477,0.020845948314643224,['+']
PTHLH,-0.10818032385027306,-0.029670145941678324,['-']
TOP3B,-0.0297605359318601,-0.1159543140273507,['-']
NFATC3,-0.08625406309012158,-0.05987956539278179,['+']
RHBDL1,-0.18894306369759933,0.020692188411293604,['+']
AMPD3,-0.056845944549840974,0.06160667792651307,['+']
ZNF616,0.11509693603989737,0.08772252139248184,['-']
GRHPR,-0.06852804444445768,-0.09674512099230949,['+']
HPS5,-0.0008686388105099515,-0.11959290594036645,['-']
PPP4R1,-0.053821365418017665,0.2181944412326466,['-']
SLC35B4,0.2503147129208472,0.06767205987372667,['-']
DDX49,0.2371352423502085,0.22142243624369484,['+']
STON1,0.13414562881929526,0.03228405210011729,['+']
AK1,0.0027377751039064087,-0.06801833102094722,['-']
ZPBP2,-0.03357004727516328,-0.266255454621421,['+']
MYADML2,0.2158947982072735,0.44970982119333164,['-']
LGSN,0.3585367793098153,-0.09478067833675102,['-']
PTPRS,0.1566821485773712,,['-']
TMEM218,0.1840075479163949,-0.030178104702917843,['-']
CLEC18A,0.2633299199171627,-0.0283676677896582,['+']
SGCA,0.036959021244756966,-0.29366128817107634,['+']
CPT1B,0.024167807875159448,0.14236952835099848,['-']
CP,0.07243324341015615,0.0074902268790978405,['-']
C11orf54,0.4643270003058364,-0.2527321345383047,['+']
B3GNT8,-0.2079788002710082,0.20882324212930625,['-']
U2AF1,-0.0524447803073144,-0.06175797968751373,['-']
MRPL48,0.2469713229344722,0.23986247978037087,['+']
ARHGAP11B,0.07701088993437002,0.15739363281928723,['+']
UGT2B15,0.3410005238226082,0.15578616976742507,['-']
GNAI1,-0.05852116237073541,-0.13613828227770194,['+']
SLC12A2,0.2546401382265975,-0.023289161654639484,['+']
TIFA,0.23075683728175808,0.3030869614786693,['-']
ACOT1,-0.1968486806781485,0.10717486964450408,['+']
GLDC,-0.025959793214220414,0.16948265300621265,['-']
LRRC1,0.20379762842146915,-0.12287969144311818,['+']
CACNA1B,-0.14543616415240276,0.03680181826550039,['+']
NDUFA12,0.5241515342447953,0.14294808808891998,['-']
SMPDL3A,0.06565809318375418,0.050439253645942046,['+']
